fqdn,ip_addr,port,cloud_type,method,url,vendor_name,prod_name,prod_version,prod_trigger,prod_type,prod_vuln,origin_login,origin_login_trigger,wrong_comment,error_msg,server_header,log,date
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/user/login,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132013041.log,2018/10/23 13:20:13
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/user/login,drupal,drupal,*,/user/login,CMS,"CVE-2017-6920
CVE-2018-7600
CVE-2018-7602
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132013041.log,2018/10/23 13:20:13
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/cms/admin/index.php,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132014557.log,2018/10/23 13:20:14
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/cms/admin/index.php,n-i-agroinformatics,soy_cms,*,/cms/admin/index.php,CMS,"CVE-2017-2163
CVE-2017-2164
CVE-2014-1998
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132014557.log,2018/10/23 13:20:14
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/soy/admin/index.php,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132016046.log,2018/10/23 13:20:16
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/soy/admin/index.php,n-i-agroinformatics,soy_cms,*,/soy/admin/index.php,CMS,"CVE-2017-2163
CVE-2017-2164
CVE-2014-1998
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132016046.log,2018/10/23 13:20:16
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/index.php/login/,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132017539.log,2018/10/23 13:20:17
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/index.php/login/,concrete5,concrete5,*,/index.php/login/,CMS,"CVE-2015-4724
CVE-2018-13790
CVE-2017-8082
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132017539.log,2018/10/23 13:20:17
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/login,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132019111.log,2018/10/23 13:20:19
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/login,concrete5,concrete5,*,/login,CMS,"CVE-2015-4724
CVE-2018-13790
CVE-2017-8082
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132019111.log,2018/10/23 13:20:19
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/index.php?Special:UserLogin,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132020639.log,2018/10/23 13:20:20
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/index.php?Special:UserLogin,mediawiki,mediawiki,*,/index.php?Special:UserLogin,CMS,"CVE-2014-9487
CVE-2017-0372
CVE-2017-8809
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132020639.log,2018/10/23 13:20:20
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/?login,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132022088.log,2018/10/23 13:20:22
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/?login,cmsimple,cmsimple,*,/?login,CMS,"CVE-2008-2650
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132022088.log,2018/10/23 13:20:22
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/?login,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132023588.log,2018/10/23 13:20:23
